id,name,age,score
1,User_1,31,4.6618132078176995
2,User_2,42,38.95010632809524
3,User_3,28,66.7089944814834
4,User_4,53,87.59176146795578
5,User_5,56,73.14551686051716
6,User_6,46,30.53432061535043
7,User_7,46,13.730704486369493
8,User_8,30,21.44772258162443
9,User_9,21,11.457930443239162
10,User_10,48,49.27288573186246
11,User_11,29,30.134463756236197
12,User_12,47,34.769508688329644
13,User_13,24,31.085320032518425
14,User_14,23,63.07213439038646
15,User_15,18,47.942303402869754
16,User_16,21,19.498511405817055
17,User_17,54,1.9629824273161178
18,User_18,18,65.67516179354674
19,User_19,29,61.981977824386
20,User_20,32,24.286825711959292
21,User_21,18,78.75932148112832
22,User_22,41,32.07262149102951
23,User_23,26,80.12240448667633
24,User_24,46,69.2393848613149
25,User_25,44,81.24232471929191
26,User_26,18,51.77274542997525
27,User_27,27,24.34494583132747
28,User_28,22,47.04858663386054
29,User_29,47,71.13028814970774
30,User_30,40,17.178333944136213
31,User_31,55,69.68553216985129
32,User_32,50,68.74798988163505
33,User_33,30,90.658057003124
34,User_34,28,77.73101043685003
35,User_35,32,71.14785486965964
36,User_36,34,2.30308609746952
37,User_37,48,97.99435499098426
38,User_38,38,94.9706082578518
39,User_39,21,50.12170821953613
40,User_40,26,8.005165308718965
41,User_41,45,55.913421962757646
42,User_42,31,73.80811556700169
43,User_43,40,58.17576302918539
44,User_44,29,65.03216522566234
45,User_45,46,90.91962846538505
46,User_46,41,81.94200365380318
47,User_47,53,16.7495862012907
48,User_48,25,79.98019396419564
49,User_49,47,15.418363513317889
50,User_50,55,55.68011567219514
51,User_51,53,47.84214479261038
52,User_52,28,32.10941499706789
53,User_53,29,98.94909165658875
54,User_54,27,89.59780440336668
55,User_55,52,66.17136568646683
56,User_56,27,1.1092898015120367
57,User_57,51,44.98980329021948
58,User_58,59,26.611562050756877
59,User_59,51,68.79472883769391
60,User_60,56,11.175354408074135
61,User_61,52,45.9617786595764
62,User_62,43,87.76264666485329
63,User_63,48,97.80504172861988
64,User_64,48,65.83296313363208
65,User_65,18,69.26790963428502
66,User_66,30,21.888794262289068
67,User_67,29,12.77064930343248
68,User_68,49,15.198523141084197
69,User_69,38,95.2889417539126
70,User_70,46,0.08753836774921808
71,User_71,33,82.36636733709348
72,User_72,19,56.01113343598948
73,User_73,48,18.431560335228227
74,User_74,52,40.73428830070144
75,User_75,48,86.70954274760683
76,User_76,44,99.96815633272402
77,User_77,46,32.24583971853829
78,User_78,21,93.96530222290326
79,User_79,50,95.60536716166523
80,User_80,47,87.34785105808126
81,User_81,35,38.320993929080736
82,User_82,48,10.839416609665609
83,User_83,59,48.717577140871214
84,User_84,57,59.8217196523985
85,User_85,55,59.12636952870005
86,User_86,55,89.66474895073654
87,User_87,41,11.035314823436726
88,User_88,41,24.418563365114554
89,User_89,43,82.54290964861997
90,User_90,58,13.577754893649107
91,User_91,51,24.039277896540124
92,User_92,41,60.84996987784233
93,User_93,50,71.0802449749276
94,User_94,20,84.19653097976206
95,User_95,32,43.042335260811846
96,User_96,40,1.117807221066236
97,User_97,32,56.54294628842273
98,User_98,40,57.91209643352022
99,User_99,51,91.54788653177029
100,User_100,28,21.93510644457497
